CRS_DEP_TIME,CARRIER,DEP_TIME,DEST,DISTANCE,FL_DATE,FL_NUM,ORIGIN,Weather,DAY_WEEK,DAY_OF_MONTH,TAIL_NUM,Flight Status
1455,DH,1531,LGA,229,37988,7211,IAD,0,5,2,N665BR,delayed
1715,DH,1712,LGA,229,37988,7215,IAD,0,5,2,N639BR,ontime
640,DH,645,LGA,229,37988,7790,IAD,0,5,2,N686BR,ontime
1039,DH,1236,LGA,229,37988,7792,IAD,0,5,2,N665BR,delayed
840,DH,859,JFK,228,37988,7800,IAD,0,5,2,N645BR,ontime
1240,DH,1232,JFK,228,37988,7806,IAD,0,5,2,N332UE,ontime
1455,DH,1455,JFK,228,37988,7808,IAD,0,5,2,N324UE,ontime
1645,DH,1645,JFK,228,37988,7810,IAD,0,5,2,N305UE,ontime
1715,DH,1716,JFK,228,37988,7812,IAD,0,5,2,N322UE,ontime
2120,DH,2305,JFK,228,37988,7814,IAD,0,5,2,N657BR,delayed
1610,DH,1605,JFK,228,37988,7816,IAD,0,5,2,N315UE,ontime
2120,DH,2118,LGA,229,37988,7924,IAD,0,5,2,N709BR,ontime
1455,DL,1458,JFK,213,37988,746,DCA,0,5,2,N964DL,ontime
930,DL,930,LGA,214,37988,1746,DCA,0,5,2,N241DL,ontime
1230,DL,1230,LGA,214,37988,1752,DCA,0,5,2,N225DL,ontime
1430,DL,1427,LGA,214,37988,1756,DCA,0,5,2,N241DL,ontime
1730,DL,1730,LGA,214,37988,1762,DCA,0,5,2,N225DL,ontime
2030,DL,2028,LGA,214,37988,1768,DCA,0,5,2,N241DL,ontime
1530,MQ,1522,JFK,213,37988,4752,DCA,0,5,2,N720MQ,ontime
600,MQ,552,JFK,213,37988,4760,DCA,0,5,2,N736MQ,ontime
1830,MQ,1847,JFK,213,37988,4784,DCA,0,5,2,N727MQ,ontime
900,MQ,852,LGA,214,37988,4956,DCA,0,5,2,N713MQ,ontime
1100,MQ,1053,LGA,214,37988,4960,DCA,0,5,2,N708MQ,ontime
1300,MQ,1258,LGA,214,37988,4964,DCA,0,5,2,N713MQ,ontime
1400,MQ,1402,LGA,214,37988,4966,DCA,0,5,2,N718MQ,ontime
1500,MQ,1456,LGA,214,37988,4968,DCA,0,5,2,N708MQ,ontime
850,UA,850,LGA,229,37988,846,IAD,0,5,2,N556UA,ontime
700,US,657,LGA,214,37988,2160,DCA,0,5,2,N710UW,ontime
900,US,857,LGA,214,37988,2164,DCA,0,5,2,N736UW,ontime
1100,US,1058,LGA,214,37988,2168,DCA,0,5,2,N710UW,ontime
1300,US,1258,LGA,214,37988,2172,DCA,0,5,2,N736UW,ontime
1500,US,1458,LGA,214,37988,2176,DCA,0,5,2,N710UW,ontime
1700,US,1655,LGA,214,37988,2180,DCA,0,5,2,N736UW,ontime
1900,US,1855,LGA,214,37988,2184,DCA,0,5,2,N710UW,ontime
2100,US,2056,LGA,214,37988,2188,DCA,0,5,2,N736UW,ontime
1720,RU,1715,EWR,169,37988,2675,BWI,0,5,2,N19966,ontime
1030,RU,1030,EWR,169,37988,2303,BWI,0,5,2,N12540,ontime
700,RU,656,EWR,169,37988,2703,BWI,0,5,2,N16961,ontime
1455,RU,1456,EWR,169,37988,2403,BWI,0,5,2,N12946,ontime
1730,CO,1727,EWR,199,37988,814,DCA,0,5,2,N14342,ontime
1300,CO,1301,EWR,199,37988,808,DCA,0,5,2,N14664,ontime
759,CO,754,EWR,199,37988,806,DCA,0,5,2,N11641,ontime
840,DH,837,EWR,213,37988,7299,IAD,0,5,2,N679BR,ontime
1245,DH,1350,EWR,213,37988,7303,IAD,0,5,2,N686BR,delayed
1430,DH,1512,EWR,213,37988,7307,IAD,0,5,2,N309UE,delayed
630,DH,629,EWR,213,37988,7371,IAD,0,5,2,N312UE,ontime
1630,RU,1625,EWR,199,37988,2181,DCA,0,5,2,N14977,ontime
700,RU,655,EWR,213,37988,2855,IAD,0,5,2,N13990,ontime
900,RU,858,EWR,199,37988,2582,DCA,0,5,2,N14907,ontime
700,RU,657,EWR,199,37988,2761,DCA,0,5,2,N13997,ontime
1700,RU,1650,EWR,213,37988,2497,IAD,0,5,2,N12528,ontime
1900,RU,1856,EWR,213,37988,2385,IAD,0,5,2,N11107,ontime
1300,RU,1253,EWR,213,37988,2692,IAD,0,5,2,N14505,ontime
900,RU,854,EWR,213,37988,3276,IAD,0,5,2,N16151,ontime
1900,RU,1858,EWR,199,37988,2336,DCA,0,5,2,N15985,ontime
2100,RU,2050,EWR,199,37988,2879,DCA,0,5,2,N17108,ontime
1400,RU,1358,EWR,199,37988,2216,DCA,0,5,2,N13118,ontime
1515,RU,1510,EWR,213,37988,2156,IAD,0,5,2,N11107,delayed
1525,RU,1519,EWR,199,37988,2261,DCA,0,5,2,N15574,ontime
1245,DH,1243,LGA,229,37989,7208,IAD,0,6,3,N688BR,ontime
1715,DH,1738,LGA,229,37989,7215,IAD,0,6,3,N639BR,ontime
640,DH,640,LGA,229,37989,7790,IAD,0,6,3,N696BR,ontime
1039,DH,1030,LGA,229,37989,7792,IAD,0,6,3,N696BR,ontime
840,DH,855,JFK,228,37989,7800,IAD,0,6,3,N709BR,ontime
1240,DH,1237,JFK,228,37989,7806,IAD,0,6,3,N327UE,ontime
1455,DH,1455,JFK,228,37989,7808,IAD,0,6,3,N309UE,ontime
1645,DH,1654,JFK,228,37989,7810,IAD,0,6,3,N311UE,ontime
1715,DH,1741,JFK,228,37989,7812,IAD,0,6,3,N327UE,ontime
2120,DH,2213,JFK,228,37989,7814,IAD,0,6,3,N655BR,delayed
1610,DH,1604,JFK,228,37989,7816,IAD,0,6,3,N329UE,ontime
2120,DH,2138,LGA,229,37989,7924,IAD,0,6,3,N688BR,ontime
1455,DL,1505,JFK,213,37989,746,DCA,0,6,3,N997DL,delayed
830,DL,828,LGA,214,37989,1744,DCA,0,6,3,N225DL,ontime
1030,DL,1030,LGA,214,37989,1748,DCA,0,6,3,N242DL,ontime
1230,DL,1230,LGA,214,37989,1752,DCA,0,6,3,N225DL,ontime
1430,DL,1428,LGA,214,37989,1756,DCA,0,6,3,N242DL,ontime
1630,DL,1629,LGA,214,37989,1760,DCA,0,6,3,N225DL,ontime
1830,DL,1829,LGA,214,37989,1764,DCA,0,6,3,N242DL,ontime
2030,DL,2024,LGA,214,37989,1768,DCA,0,6,3,N225DL,ontime
1530,MQ,1600,JFK,213,37989,4752,DCA,0,6,3,N734MQ,delayed
600,MQ,555,JFK,213,37989,4760,DCA,0,6,3,N712MQ,ontime
1830,MQ,1829,JFK,213,37989,4784,DCA,0,6,3,N709MQ,ontime
900,MQ,855,LGA,214,37989,4956,DCA,0,6,3,N739MQ,ontime
1300,MQ,1254,LGA,214,37989,4964,DCA,0,6,3,N739MQ,ontime
850,UA,849,LGA,229,37989,846,IAD,0,6,3,N567UA,ontime
700,US,655,LGA,214,37989,2160,DCA,0,6,3,N760UW,ontime
900,US,858,LGA,214,37989,2164,DCA,0,6,3,N710UW,ontime
1100,US,1059,LGA,214,37989,2168,DCA,0,6,3,N760UW,ontime
1300,US,1256,LGA,214,37989,2172,DCA,0,6,3,N710UW,ontime
1500,US,1500,LGA,214,37989,2176,DCA,0,6,3,N760UW,ontime
1700,US,1658,LGA,214,37989,2180,DCA,0,6,3,N710UW,ontime
1900,US,1857,LGA,214,37989,2184,DCA,0,6,3,N760UW,ontime
1720,RU,1714,EWR,169,37989,2675,BWI,0,6,3,N15574,ontime
700,RU,655,EWR,169,37989,2703,BWI,0,6,3,N11536,ontime
1030,RU,1026,EWR,169,37989,2303,BWI,0,6,3,N14907,ontime
1455,RU,1448,EWR,169,37989,2267,BWI,0,6,3,N14974,ontime
1300,CO,1255,EWR,199,37989,808,DCA,0,6,3,N11612,ontime
840,DH,857,EWR,213,37989,7299,IAD,0,6,3,N693BR,delayed
1710,DH,1705,EWR,213,37989,7302,IAD,0,6,3,N693BR,ontime
1245,DH,1329,EWR,213,37989,7303,IAD,0,6,3,N672BR,delayed
2120,DH,2126,EWR,213,37989,7304,IAD,0,6,3,N643BR,ontime
630,DH,625,EWR,213,37989,7371,IAD,0,6,3,N333UE,ontime
1725,RU,1722,EWR,213,37989,2497,IAD,0,6,3,N17146,ontime
1400,RU,1356,EWR,199,37989,2216,DCA,0,6,3,N17513,ontime
700,RU,658,EWR,213,37989,2855,IAD,0,6,3,N14925,ontime
930,RU,941,EWR,199,37989,2582,DCA,0,6,3,N14977,ontime
1730,RU,1738,EWR,199,37989,2097,DCA,0,6,3,N14998,ontime
1600,RU,1556,EWR,199,37989,2181,DCA,0,6,3,N13955,ontime
1515,RU,1511,EWR,213,37989,2156,IAD,0,6,3,N12136,ontime
700,RU,703,EWR,199,37989,2761,DCA,0,6,3,N14907,ontime
1455,OH,1605,JFK,184,37990,5935,BWI,0,7,4,N973CA,delayed
1640,DH,1644,JFK,213,37990,6155,DCA,0,7,4,N424FJ,ontime
1245,DH,1249,LGA,229,37990,7208,IAD,0,7,4,N632BR,ontime
1455,DH,1535,LGA,229,37990,7211,IAD,0,7,4,N654BR,delayed
1715,DH,1837,LGA,229,37990,7215,IAD,0,7,4,N634BR,delayed
640,DH,640,LGA,229,37990,7790,IAD,0,7,4,N654BR,ontime
1039,DH,1032,LGA,229,37990,7792,IAD,0,7,4,N654BR,ontime
840,DH,900,JFK,228,37990,7800,IAD,0,7,4,N673BR,ontime
1240,DH,1243,JFK,228,37990,7806,IAD,0,7,4,N330UE,ontime
1455,DH,1504,JFK,228,37990,7808,IAD,0,7,4,N314UE,ontime
1645,DH,1642,JFK,228,37990,7810,IAD,0,7,4,N313UE,ontime
1715,DH,1709,JFK,228,37990,7812,IAD,0,7,4,N312UE,ontime
2120,DH,2120,JFK,228,37990,7814,IAD,0,7,4,N626BR,ontime
1610,DH,1607,JFK,228,37990,7816,IAD,0,7,4,N327UE,ontime
2120,DH,2116,LGA,229,37990,7924,IAD,0,7,4,N674BR,ontime
1455,DL,1500,JFK,213,37990,746,DCA,0,7,4,N912DL,ontime
830,DL,828,LGA,214,37990,1744,DCA,0,7,4,N242DL,ontime
1030,DL,1028,LGA,214,37990,1748,DCA,0,7,4,N221DL,ontime
1230,DL,1230,LGA,214,37990,1752,DCA,0,7,4,N242DL,ontime
1430,DL,1432,LGA,214,37990,1756,DCA,0,7,4,N221DL,ontime
1630,DL,1629,LGA,214,37990,1760,DCA,0,7,4,N242DL,ontime
1830,DL,1832,LGA,214,37990,1764,DCA,0,7,4,N221DL,ontime
2030,DL,2030,LGA,214,37990,1768,DCA,0,7,4,N242DL,ontime
1530,MQ,1534,JFK,213,37990,4752,DCA,0,7,4,N712MQ,delayed
600,MQ,554,JFK,213,37990,4760,DCA,0,7,4,N737MQ,ontime
730,MQ,745,JFK,213,37990,4771,DCA,0,7,4,N719MQ,ontime
1830,MQ,1858,JFK,213,37990,4784,DCA,0,7,4,N727MQ,delayed
1300,MQ,1257,LGA,214,37990,4964,DCA,0,7,4,N737MQ,ontime
1500,MQ,1458,LGA,214,37990,4968,DCA,0,7,4,N727MQ,delayed
1700,MQ,1659,LGA,214,37990,4972,DCA,0,7,4,N708MQ,ontime
1900,MQ,1936,LGA,214,37990,4976,DCA,0,7,4,N719MQ,delayed
850,UA,849,LGA,229,37990,846,IAD,0,7,4,N559UA,ontime
900,US,858,LGA,214,37990,2164,DCA,0,7,4,N730UW,ontime
1000,US,954,LGA,214,37990,2166,DCA,0,7,4,N765UW,ontime
1100,US,1055,LGA,214,37990,2168,DCA,0,7,4,N746UW,ontime
1200,US,1158,LGA,214,37990,2170,DCA,0,7,4,N711UW,ontime
1300,US,1257,LGA,214,37990,2172,DCA,0,7,4,N730UW,ontime
1400,US,1359,LGA,214,37990,2174,DCA,0,7,4,N765UW,ontime
1500,US,1456,LGA,214,37990,2176,DCA,0,7,4,N746UW,ontime
1600,US,1559,LGA,214,37990,2178,DCA,0,7,4,N711UW,ontime
1700,US,1658,LGA,214,37990,2180,DCA,0,7,4,N730UW,ontime
1800,US,1758,LGA,214,37990,2182,DCA,0,7,4,N765UW,ontime
1900,US,1857,LGA,214,37990,2184,DCA,0,7,4,N746UW,ontime
2000,US,1957,LGA,214,37990,2186,DCA,0,7,4,N711UW,ontime
2100,US,2059,LGA,214,37990,2188,DCA,0,7,4,N730UW,ontime
1455,RU,1615,EWR,169,37990,2403,BWI,0,7,4,N14943,delayed
1315,RU,1416,EWR,169,37990,2703,BWI,0,7,4,N13949,delayed
1605,RU,2030,EWR,169,37990,2603,BWI,0,7,4,N14933,delayed
1030,RU,1235,EWR,169,37990,2303,BWI,0,7,4,N19966,delayed
1300,CO,1255,EWR,199,37990,808,DCA,0,7,4,N59630,ontime
1630,CO,1833,EWR,199,37990,810,DCA,0,7,4,N16649,delayed
840,DH,857,EWR,213,37990,7299,IAD,0,7,4,N640BR,ontime
1710,DH,1917,EWR,213,37990,7302,IAD,0,7,4,N697BR,delayed
1245,DH,1310,EWR,213,37990,7303,IAD,0,7,4,N638BR,delayed
2120,DH,2221,EWR,213,37990,7304,IAD,0,7,4,N697BR,delayed
1430,DH,1600,EWR,213,37990,7307,IAD,0,7,4,N328UE,delayed
1730,RU,1952,EWR,199,37990,2097,DCA,0,7,4,N12136,delayed
930,RU,927,EWR,199,37990,2582,DCA,0,7,4,N13992,ontime
900,RU,858,EWR,213,37990,3276,IAD,0,7,4,N15985,ontime
1900,RU,2110,EWR,213,37990,2385,IAD,0,7,4,N24128,delayed
1400,RU,1356,EWR,199,37990,2216,DCA,0,7,4,N16987,delayed
1900,RU,2120,EWR,199,37990,2336,DCA,0,7,4,N12569,delayed
1515,RU,1557,EWR,213,37990,2156,IAD,0,7,4,N18101,delayed
1455,OH,1610,JFK,184,37991,5935,BWI,0,1,5,N814CA,delayed
1640,DH,1638,JFK,213,37991,6155,DCA,0,1,5,N424FJ,delayed
1245,DH,1338,LGA,229,37991,7208,IAD,0,1,5,N674BR,delayed
1455,DH,1606,LGA,229,37991,7211,IAD,0,1,5,N643BR,delayed
1715,DH,1848,LGA,229,37991,7215,IAD,0,1,5,N649BR,delayed
640,DH,633,LGA,229,37991,7790,IAD,0,1,5,N643BR,delayed
1039,DH,1054,LGA,229,37991,7792,IAD,0,1,5,N643BR,ontime
840,DH,946,JFK,228,37991,7800,IAD,0,1,5,N651BR,delayed
1240,DH,1312,JFK,228,37991,7806,IAD,0,1,5,N305UE,delayed
1645,DH,1700,JFK,228,37991,7810,IAD,0,1,5,N331UE,ontime
1715,DH,1709,JFK,228,37991,7812,IAD,0,1,5,N332UE,ontime
2120,DH,2200,JFK,228,37991,7814,IAD,0,1,5,N683BR,delayed
1610,DH,1651,JFK,228,37991,7816,IAD,0,1,5,N303UE,delayed
2120,DH,2125,LGA,229,37991,7924,IAD,0,1,5,N699BR,ontime
1455,DL,1459,JFK,213,37991,746,DCA,0,1,5,N994DL,ontime
630,DL,630,LGA,214,37991,1740,DCA,0,1,5,N221DL,ontime
730,DL,734,LGA,214,37991,1742,DCA,0,1,5,N241DL,ontime
830,DL,830,LGA,214,37991,1744,DCA,0,1,5,N242DL,ontime
930,DL,932,LGA,214,37991,1746,DCA,0,1,5,N225DL,ontime
1030,DL,1031,LGA,214,37991,1748,DCA,0,1,5,N223DZ,ontime
1130,DL,1128,LGA,214,37991,1750,DCA,0,1,5,N241DL,ontime
1230,DL,1230,LGA,214,37991,1752,DCA,0,1,5,N242DL,ontime
1330,DL,1329,LGA,214,37991,1754,DCA,0,1,5,N225DL,ontime
1430,DL,1427,LGA,214,37991,1756,DCA,0,1,5,N223DZ,ontime
1630,DL,1635,LGA,214,37991,1760,DCA,0,1,5,N242DL,ontime
1730,DL,1730,LGA,214,37991,1762,DCA,0,1,5,N225DL,ontime
1830,DL,1829,LGA,214,37991,1764,DCA,0,1,5,N223DZ,ontime
1930,DL,1955,LGA,214,37991,1766,DCA,0,1,5,N241DL,delayed
2030,DL,2028,LGA,214,37991,1768,DCA,0,1,5,N242DL,ontime
1530,MQ,1538,JFK,213,37991,4752,DCA,0,1,5,N704MQ,ontime
600,MQ,557,JFK,213,37991,4760,DCA,0,1,5,N707MQ,ontime
700,MQ,656,LGA,214,37991,4952,DCA,0,1,5,N712MQ,ontime
800,MQ,758,LGA,214,37991,4954,DCA,0,1,5,N724MQ,ontime
900,MQ,859,LGA,214,37991,4956,DCA,0,1,5,N719MQ,ontime
1100,MQ,1103,LGA,214,37991,4960,DCA,0,1,5,N706MQ,ontime
1300,MQ,1250,LGA,214,37991,4964,DCA,0,1,5,N716MQ,ontime
1600,MQ,1627,LGA,214,37991,4970,DCA,0,1,5,N700MQ,delayed
1700,MQ,1702,LGA,214,37991,4972,DCA,0,1,5,N724MQ,ontime
1900,MQ,1949,LGA,214,37991,4976,DCA,0,1,5,N846MQ,delayed
850,UA,848,LGA,229,37991,846,IAD,0,1,5,N516UA,ontime
630,US,627,LGA,214,37991,1479,DCA,0,1,5,N765UW,delayed
700,US,657,LGA,214,37991,2160,DCA,0,1,5,N762UW,ontime
800,US,757,LGA,214,37991,2162,DCA,0,1,5,N750UW,ontime
900,US,900,LGA,214,37991,2164,DCA,0,1,5,N733UW,ontime
1000,US,958,LGA,214,37991,2166,DCA,0,1,5,N767UW,ontime
1100,US,1057,LGA,214,37991,2168,DCA,0,1,5,N762UW,ontime
1200,US,1155,LGA,214,37991,2170,DCA,0,1,5,N750UW,ontime
1300,US,1257,LGA,214,37991,2172,DCA,0,1,5,N733UW,ontime
1400,US,1358,LGA,214,37991,2174,DCA,0,1,5,N767UW,ontime
1500,US,1500,LGA,214,37991,2176,DCA,0,1,5,N762UW,ontime
1600,US,1601,LGA,214,37991,2178,DCA,0,1,5,N750UW,ontime
1700,US,1657,LGA,214,37991,2180,DCA,0,1,5,N733UW,ontime
1800,US,1757,LGA,214,37991,2182,DCA,0,1,5,N767UW,ontime
1900,US,1857,LGA,214,37991,2184,DCA,0,1,5,N762UW,ontime
2000,US,1959,LGA,214,37991,2186,DCA,0,1,5,N750UW,ontime
2100,US,2100,LGA,214,37991,2188,DCA,0,1,5,N733UW,ontime
700,RU,744,EWR,169,37991,2703,BWI,0,1,5,N14923,delayed
1455,RU,1527,EWR,169,37991,2403,BWI,0,1,5,N12946,delayed
1030,RU,1221,EWR,169,37991,2303,BWI,0,1,5,N16951,delayed
1300,CO,1324,EWR,199,37991,808,DCA,0,1,5,N14628,delayed
759,CO,757,EWR,199,37991,806,DCA,0,1,5,N14654,ontime
1730,CO,1846,EWR,199,37991,814,DCA,0,1,5,N14341,delayed
840,DH,844,EWR,213,37991,7299,IAD,0,1,5,N622BR,ontime
1710,DH,1920,EWR,213,37991,7302,IAD,0,1,5,N697BR,delayed
1245,DH,1357,EWR,213,37991,7303,IAD,0,1,5,N664BR,delayed
2120,DH,2312,EWR,213,37991,7304,IAD,0,1,5,N667BR,delayed
1430,DH,1536,EWR,213,37991,7307,IAD,0,1,5,N320UE,delayed
630,DH,624,EWR,213,37991,7371,IAD,0,1,5,N330UE,ontime
700,RU,700,EWR,199,37991,2761,DCA,0,1,5,N18556,ontime
900,RU,1056,EWR,199,37991,2582,DCA,0,1,5,N14952,delayed
1300,RU,1321,EWR,213,37991,2692,IAD,0,1,5,N16511,delayed
2100,RU,2105,EWR,199,37991,2879,DCA,0,1,5,N12126,ontime
700,RU,655,EWR,213,37991,2855,IAD,0,1,5,N14570,ontime
1400,RU,1454,EWR,199,37991,2216,DCA,0,1,5,N13979,delayed
1900,RU,2104,EWR,199,37991,2336,DCA,0,1,5,N14940,delayed
1515,RU,1602,EWR,213,37991,2156,IAD,0,1,5,N27152,delayed
900,RU,855,EWR,213,37991,3276,IAD,0,1,5,N14991,ontime
1525,RU,1617,EWR,199,37991,2261,DCA,0,1,5,N15948,delayed
1455,OH,1455,JFK,184,37992,5935,BWI,0,2,6,N805CA,ontime
1245,DH,1240,LGA,229,37992,7208,IAD,0,2,6,N307UE,ontime
1455,DH,1451,LGA,229,37992,7211,IAD,0,2,6,N676BR,ontime
1715,DH,1752,LGA,229,37992,7215,IAD,0,2,6,N662BR,ontime
640,DH,635,LGA,229,37992,7790,IAD,0,2,6,N676BR,ontime
1039,DH,1034,LGA,229,37992,7792,IAD,0,2,6,N676BR,ontime
840,DH,855,JFK,228,37992,7800,IAD,0,2,6,N674BR,ontime
1240,DH,1237,JFK,228,37992,7806,IAD,0,2,6,N316UE,ontime
1455,DH,1453,JFK,228,37992,7808,IAD,0,2,6,N315UE,ontime
1645,DH,1641,JFK,228,37992,7810,IAD,0,2,6,N308UE,ontime
1715,DH,1756,JFK,228,37992,7812,IAD,0,2,6,N333UE,delayed
2120,DH,2153,JFK,228,37992,7814,IAD,0,2,6,N694BR,delayed
1610,DH,1607,JFK,228,37992,7816,IAD,0,2,6,N332UE,ontime
2120,DH,2118,LGA,229,37992,7924,IAD,0,2,6,N674BR,ontime
1455,DL,1457,JFK,213,37992,746,DCA,0,2,6,N949DL,ontime
630,DL,629,LGA,214,37992,1740,DCA,0,2,6,N223DZ,ontime
730,DL,728,LGA,214,37992,1742,DCA,0,2,6,N225DL,ontime
830,DL,829,LGA,214,37992,1744,DCA,0,2,6,N242DL,ontime
930,DL,930,LGA,214,37992,1746,DCA,0,2,6,N241DL,ontime
1030,DL,1030,LGA,214,37992,1748,DCA,0,2,6,N223DZ,ontime
1130,DL,1130,LGA,214,37992,1750,DCA,0,2,6,N225DL,ontime
1230,DL,1230,LGA,214,37992,1752,DCA,0,2,6,N242DL,ontime
1330,DL,1327,LGA,214,37992,1754,DCA,0,2,6,N241DL,ontime
1430,DL,1428,LGA,214,37992,1756,DCA,0,2,6,N223DZ,ontime
1530,DL,1529,LGA,214,37992,1758,DCA,0,2,6,N225DL,ontime
1630,DL,1629,LGA,214,37992,1760,DCA,0,2,6,N242DL,ontime
1730,DL,1728,LGA,214,37992,1762,DCA,0,2,6,N241DL,ontime
1830,DL,1830,LGA,214,37992,1764,DCA,0,2,6,N223DZ,ontime
1930,DL,1929,LGA,214,37992,1766,DCA,0,2,6,N225DL,ontime
2030,DL,2031,LGA,214,37992,1768,DCA,0,2,6,N242DL,ontime
1530,MQ,1548,JFK,213,37992,4752,DCA,0,2,6,N838MQ,ontime
600,MQ,558,JFK,213,37992,4760,DCA,0,2,6,N739MQ,ontime
1830,MQ,1843,JFK,213,37992,4784,DCA,0,2,6,N704MQ,ontime
700,MQ,655,LGA,214,37992,4952,DCA,0,2,6,N707MQ,ontime
800,MQ,817,LGA,214,37992,4954,DCA,0,2,6,N614MQ,ontime
900,MQ,852,LGA,214,37992,4956,DCA,0,2,6,N724MQ,ontime
1100,MQ,1100,LGA,214,37992,4960,DCA,0,2,6,N707MQ,ontime
1300,MQ,1313,LGA,214,37992,4964,DCA,0,2,6,N614MQ,ontime
1400,MQ,1355,LGA,214,37992,4966,DCA,0,2,6,N846MQ,ontime
1500,MQ,1535,LGA,214,37992,4968,DCA,0,2,6,N704MQ,delayed
1600,MQ,1555,LGA,214,37992,4970,DCA,0,2,6,N710MQ,ontime
1700,MQ,1654,LGA,214,37992,4972,DCA,0,2,6,N734MQ,ontime
1900,MQ,1904,LGA,214,37992,4976,DCA,0,2,6,N715MQ,ontime
850,UA,850,LGA,229,37992,846,IAD,0,2,6,N501UA,ontime
630,US,629,LGA,214,37992,1479,DCA,0,2,6,N764UW,ontime
700,US,657,LGA,214,37992,2160,DCA,0,2,6,N721UW,ontime
